video_rank,video_id,country_id,trending_id,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
33,sfU0qBEbY_A,CA,18.31.05,MAY BE - RAVNEET (Official Song) Latest Songs 2018 | Juke Dock,Juke Dock,10,2018-05-30T12:50:32.000Z,1194755,41136,1581,1870
34,RMnI_zRbjYA,CA,18.31.05,EVERLEIGH TAUGHT ME HER SOLO!,Maddie Ziegler,24,2018-05-30T21:33:33.000Z,1193974,77227,363,3471
35,w2D-ZOloy4o,CA,18.31.05,JE ME BATS CONTRE UN PRO EN UFC !!,Tibo InShape,17,2018-05-29T16:00:26.000Z,1168514,58674,1332,3673
36,MHHMunmgq5U,CA,18.31.05,Ayoub Series - EP 14,AlHayah TV Network,24,2018-05-30T22:45:31.000Z,1156498,8386,709,1359
37,M3oZaBpEq7E,CA,18.31.05,I Made Yeezys Using a 3D PEN!,Guava Juice,24,2018-05-29T19:30:00.000Z,1147085,59330,1995,8062
38,2SJ0hgdciNE,CA,18.31.05,Marshmello x Juicy J - You Can Cry (Ft. James Arthur) (Official Video),Marshmello,10,2018-05-30T14:00:00.000Z,1113627,111807,2201,8109
39,EJjh19zO1lk,CA,18.31.05,Zurcaroh: Golden Buzzer Worthy Aerial Dance Group Impresses Tyra Banks - America's Got Talent 2018,America's Got Talent,24,2018-05-30T01:59:01.000Z,1102513,22878,481,2143
40,_h0WPboYHfU,CA,18.31.05,Jamie Foxx reacts to Pusha T responds to Drake Duppy,Entertainment Underground,24,2018-05-30T02:22:12.000Z,1098469,6727,1012,1755
41,IIPGgPCXvgU,CA,18.31.05,Parwah Ni Karidi (Full Video) - Rupinder Handa | Dance Song | New Punjabi Songs 2018 | Saga Music,SagaHits,10,2018-05-28T04:30:47.000Z,1093137,42019,3615,5962
42,PlSwgM4PTNI,CA,18.31.05,"Diane Black EXPOSES The Real Problem, Roseanne Fallout Gets Weirder, & A Russian Resurrection",Philip DeFranco,25,2018-05-30T21:30:32.000Z,1073366,60189,2232,11194
43,gS1DbvHHVH0,CA,18.31.05,Going in to brain surgery,Simone Giertz,28,2018-05-30T14:22:13.000Z,1058246,102940,707,18157
44,MN840bAdQyw,CA,18.31.05,BAN RAJVIR JAWANDA SONG | LATEST PUNJABI SONG 2018 | T-SERIES APNAPUNJAB,T-Series Apna Punjab,10,2018-05-31T04:30:00.000Z,1052263,27559,1142,1208
45,P0tFjpzDqx0,CA,18.31.05,Everything Wrong With Cast Away In 14 Minutes Or Less,CinemaSins,1,2018-05-29T16:57:32.000Z,1050955,29657,753,2959
46,2U_0OlCizx0,CA,18.31.05,Binging with Babish: Arrested Development Special (feat. Sean Evans),Binging with Babish,24,2018-05-29T13:00:00.000Z,1029554,34806,580,4093
47,1DwEaKDqXE4,CA,18.31.05,"Naomi vs. Lana - Dance-Off: SmackDown LIVE, May 29, 2018",WWE,17,2018-05-30T01:33:00.000Z,988808,18887,933,2583
48,TfiTsqa2LB0,CA,18.31.05,HOW WELL DOES MY MOM KNOW ME?,Markiplier,24,2018-05-29T18:41:24.000Z,983218,92846,429,16264
49,7pPMg9l6Yik,CA,18.31.05,Pusha T - The Story of Adidon (Drake Diss) Review | The Joe Budden Podcast,Joe Budden TV,24,2018-05-30T14:15:01.000Z,975127,19227,1032,8158
50,GhxV90u-xME,CA,18.31.05,Joe Rogan on the Roseanne Controversy,JRE Clips,22,2018-05-31T01:41:34.000Z,923771,8710,4299,14551
